"","row","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","RPA1",2145.73672285374,-2.31958946943446,0.182688848213373,-12.6969406842243,6.1486652014022e-37,1.45870933238066e-32
"2","NDUFA12",1240.88290941131,-0.686973722303966,0.104674301614744,-6.56296446889505,5.27484201308247e-11,6.25701759591843e-07
"3","RELN",73.2147978045457,3.4239539610248,0.615357182577163,5.56417322811609,2.63398196353973e-08,0.000208295293676722
"4","ARFGEF1",1897.13963121436,-1.59866476025329,0.296216288722063,-5.39695088055507,6.77829349989779e-08,0.000402020587478938
"5","AP002990.1",16574.2872600457,2.90140857093783,0.55110406006421,5.26472000696162,1.4040317193196e-07,0.000666184970182763
"6","RCCD1",418.971899584092,1.72610525077157,0.335338499517914,5.1473518646175,2.64189485698465e-07,0.00104460522645173
"7","CDAN1",201.99412509657,-1.88310658963737,0.389261322620795,-4.83764114286747,1.31389081069423e-06,0.00445296365613
"8","MARCH2",183.048142206,-1.23461488036906,0.257324459911366,-4.7978916609572,1.60344462044328e-06,0.00475501502192454
"9","LYZ",17.9827459001179,7.22672111719461,1.51918933474712,4.75695882791169,1.96531233055552e-06,0.00518056330334435
"10","AC024937.2",9.29795382019759,5.70600907914425,1.21585518617358,4.69300056785679,2.69226742949634e-06,0.00638713524973712
"11","CS",3258.74280379246,-1.03241772746054,0.221326886298125,-4.66467379869017,3.09106985814696e-06,0.00666659466497077
"12","FAM208B",638.709641695248,2.53014364444308,0.565179206966336,4.47671041902607,7.58019552423714e-06,0.0149860465514168
"13","PKD1P5",607.825659360459,-1.0646947210599,0.248211619519278,-4.28946365654413,1.79105117734756e-05,0.0326853062549181
"14","CDH23",22.7105421877438,3.55568691712317,0.840480538323699,4.23054045274484,2.3313051245505e-05,0.0395056305534544
"15","COX7B",5009.63911464018,-2.52272024314508,0.605766384633159,-4.16451012657758,3.12021778692349e-05,0.0493493645179819
"16","MLLT10",511.488874053871,-0.947709565541459,0.229280761076906,-4.13340203988408,3.57432679535121e-05,0.0529983305580701
"17","PCDHGA8",924.328961295446,-3.01601109133253,0.733021376178036,-4.11449268649977,3.88031860515945e-05,0.0541509874051782
"18","MLLT1",1149.79463632974,-1.44640893718655,0.355756937779311,-4.06572236149563,4.78839138277911e-05,0.0607889257403892
"19","CKAP5",1214.02368164508,-1.93991871064123,0.477594348447479,-4.06185441043711,4.86844372393945e-05,0.0607889257403892
"20","SORBS1",33.6466630234544,1.17041585651641,0.289609211742599,4.04136266755445,5.31414990544835e-05,0.0630364461784284
"21","AC099850.3",91.2364345676333,-3.75196959206364,0.934251264270345,-4.01601767699394,5.91898179963127e-05,0.066867582959263
"22","AREL1",731.916628476461,-1.9316263970295,0.48584051659599,-3.97584460547531,7.01299098180511e-05,0.0756255445692475
"23","KLF8",86.317301960196,1.55104269579346,0.391297592162375,3.96384421182391,7.37523925452314e-05,0.0760739895975248
"24","KIF22",1525.38735406245,-1.17215756914308,0.3009097600469,-3.89537902978085,9.80452869335463e-05,0.0968156388961505
"25","DAAM2",554.639891799883,-1.25211035226895,0.3224738213855,-3.88282790488014,0.000103248644189329,0.0968156388961505
"26","CLYBL",37.0079677979237,1.48787720982776,0.384017101998168,3.87450767709521,0.00010684047537109,0.0968156388961505
"27","SBF1",2390.26033607012,-1.63566047000181,0.422979729702987,-3.86699492940326,0.000110184718015346,0.0968156388961505
"28","LINC01260",6.94521218050187,4.27385781679319,1.11126859051086,3.84592694627359,0.000120097544092936,0.0987125279498585
"29","PLXDC2",125.867241264916,-1.85523995726097,0.482535935852182,-3.84477055368846,0.000120665288760154,0.0987125279498585
"30","RPE",1862.56731141618,0.641754652070578,0.171599317186547,3.73984385598063,0.000184134601607846,0.145613642951484
